Fukomys anselli,Fukomys,anselli,CBUN,840,Fuk_anse_840_skull_1759_1759_2479_00240861.resampled.lmk
Fukomys mechowi,Fukomys,mechowi,CBUN,828./0774,Fukomys_mechowi_828_skull_2454_1603_1603_00240897.resampled.lmk
Funambulus palmarum,Funambulus,palmarum,NHMUK,1971.792,Funambulus_NHM_skull_1601_1531_2801_00135202.resampled.lmk
Funisciurus anerythrus,Funisciurus,anerythrus,RMCA,1988.011.M.004,FUNane_RMCA_1988-011-M-004.lmk
Galea musteloides,Galea,musteloides,CBUN,CSB005,Gal_sp_CSB005_repaired_skull_1246_1176_2287_00239932.resampled.lmk
Georychus capensis,Georychus,capensis,CBUN,GC11,Georychus_capensis_GC11_skull_1813_1630_1608_00240836.resampled.lmk
Gerbillus sp,Gerbillus,sp,MNHN-ZM-MO,HERREL,Gerbillus_AnthonyH_SA_skull_1758_1758_2978_00178631.resampled.lmk
Glis glis,Glis,glis,UM,AN01,Glis_glis_AN01_skull_1343_1634_2417_00178625.resampled.lmk
Golunda ellioti,Golunda,ellioti,NHMUK,1892.1.9.32,Golunda_ellioti_NHMUK_1892-1-9-32_cranium.lmk
Grammomys poensis,Grammomys,poensis,MNHN-ZM-MO,1996-2104,Grammomys_1996_2104_skull_1724_1779_3327_00107992.resampled.lmk
Graphiurus sp,Graphiurus,sp,CBUN,ETH0706,Graphiurus_ETH_0706_skull_1629_1458_2864_00100113.resampled.lmk
Gymnuromys roberti,Gymnuromys,roberti,FMNH,151896,GYMrobe_FMNH_151896.lmk
Hapalomys longicaudatus,Hapalomys,longicaudatus,AMNH,242686,HAPlon_AMNH242686_md.lmk
Heliophobius argenteocinereus,Heliophobius,argenteocinereus,CBUN,MSX225,Hel_arg_CBUN_225_skull_2712_1759_1759_00238305.resampled.lmk
Heliosciurus gambianus,Heliosciurus,gambianus,NHMUK,2022.22,HELgam_NHMUK__2022_22.lmk
Heterocephalus glaber,Heterocephalus,glaber,CBUN,599,Heterocephalus_glaber_599_skull_1326_1211_1778_00132215.resampled.lmk
Heterocephalus glaber,Heterocephalus,glaber,CBUN,584,Het_gla_CBUN_584_skull_2380_1759_1759_00150363.resampled.lmk
Heteromys desmarestianus,Heteromys,desmarestianus,NHMUK,2003.221,HETdesma_NHMUK2003221.lmk
Holochilus brasiliensis,Holochilus,brasiliensis,MNHN-ZM-MO,CG1994-5,HOLbra_MNHN_1994_5_skull(2).lmk
Hybomys univittatus,Hybomys,univittatus,MNHN-ZM-MO,1997-848,Hyb_MNHN_ZMMO_1997_848_skull_1527_1437_3114_00108917.resampled.lmk
Hybomys univittatus,Hybomys,univittatus,MNHN-ZM-MO,1996-831,Hybomys_spce_1996_831_skull_3306_1640_1645_00110213.resampled.lmk
Hydrochoerus hydrochaeris,Hydrochoerus,hydrochaeris,JAGUARS,M2916,HYDhydr_UM2916_skull(2).lmk
Hydromys chrysogaster,Hydromys,chrysogaster,UM,pao009,Hydromys_P009_skull_1540_1298_3230_00188946.resampled.lmk
Hylaeamys megacephalus,Hylaeamys,megacephalus,JAGUARS,V3644,HYLmega_JAGUARSV3644.lmk
Hyorhinomys stuempkei,Hyorhinomys,stuempkei,MV,NMVC37198,Hyo_stuempkei_NMVC_37198_skull_2835_1567_1575_00176114.resampled.lmk
Hypogeomys antimena,Hypogeomys,antimena,CBUN,NMP,Hyp_NMP_skull_1508_1498_2642_00292917.resampled.lmk
Hystrix pumila,Hystrix,pumila,CBUN,CSB013,HYSpum_CBUN_nonb.lmk
Idiurus macrotis,Idiurus,macrotis,RMCA,29335,Idi_mac_29335_skull_1759_1759_1888_00150359.resampled.lmk
Idiurus zenkeri,Idiurus,zenkeri,NHMUK,3.2.4.39,Idiurus_zenkeri_NHM_32434_skull_984_942_1890_00131808.resampled.lmk
