"","mass","length","pcsa","lsr_mass","lsr_length","lsr_pcsa"
"Lemmus lemmus NHM 2022.23",0.0351,0.5132424242,0.0645176742721219,-0.55433128752614,0.24146254954032,-0.77829852781946
"Lemmus sibiricus NHM 1976.587",0.0292,0.6834705882,0.0403048357704308,-0.675193247138026,0.446600070661382,-1.12146311526472
"Lenothrix canus EBD BOR036",0.0616,0.6651521739,0.0873682892839897,-0.838874152920613,0.335718506095821,-1.16331062071068
"Leopoldamys sabanus EBD BOR041",0.1316,0.6230735294,0.199255685786844,-0.860035345535168,0.270185051643828,-1.13228787985567
"Leptomys sp. CBUN FR 2200-033",0.0197,0.4100888889,0.0453192128912063,-0.703311719615184,0.0593892424562511,-0.741270864719866
"Lorentzimys nouhuysi CBUN MW-2700-131",0.0064,0.25798,0.0234038911894589,-0.948786503119256,-0.115902975017863,-0.812393442721255
"Macruromys sp. CBUN FR 1200-029",0.0732,0.6870169492,0.100516594028718,-0.898429448542276,0.148156716758555,-1.02630572571448
"Makalata didelphoides UM V36-40",0.1287,0.603375,0.201226590991709,-0.201695586271055,0.0586459557172553,-0.234592772722776
"Malacothrix typica NHM 1898.2.3.5",0.007,0.2245714286,0.029406116468485,-0.826664568683499,-0.0651689047669314,-0.737221616001906
"Massoutiera mzabi NHM 19.7.7.2880",0.0426,0.3372884615,0.119152250469982,-0.964784994060093,-0.0512175255417142,-0.862562471892349
"Mastacomys fuscus MV C9999",0.0395,0.5542,0.0672395361663591,-1.2636805196119,0.00842525913867372,-1.30580471732139
"Mastomys natalensis MNHN-ZM-MO 1993-168",0.0199,0.4803454545,0.0390835069423154,-0.80825300207296,0.0823296215466465,-0.860712735897467
"Pseudohydromys ellermani CBUN FR 2200-043",0.0085,0.3794189189,0.0211346022169278,-0.42185198864288,0.286181869523339,-0.698009233087223
"Melasmothrix naso AMNH 225097",0.0081,0.3505769231,0.0217969550488141,-0.530938353473896,-0.0083379887877064,-0.523615291381425
"Mesocricetus auratus NHM 1992.42",0.0456,0.6739230769,0.0638334988058461,-0.504062756109193,0.507658967875972,-1.00086490343999
"Mesomys hispidus JAGUARS M1281",0.0476,0.5253636364,0.0854753874574759,-0.118745096496812,0.339409146656513,-0.392176741008544
"Microcavia australis NHM 1992.483",0.056,0.7257142857,0.0727975040870072,-0.914486054233852,0.134597484076701,-1.03141310132891
"Microtus sp. MB 2018-34-15",0.0098,0.4903636364,0.0188539327400826,-0.538060731926888,0.320573446882204,-0.847481307257844
