"","DM","ePT","iPT","SM","T","ZM"
"Rhynchomys isagorensis USNM 573913",0.0465,0.0253,0.0316,0.0163,0.0463,0.0144
"Rhynchomys soricoides FMNH 193833",0.0617,0.0318,0.0436,0.0252,0.076,0.0247
"Rhynchomys soricoides FMNH 193836",0.0506,0.0362,0.0497,0.0284,0.0748,0.0155
"Sommeromys macrorhinos kcr2596",0.0214,0.0105,0.0163,0.0121,0.0286,0.0061
"Sommeromys macrorhinos kcr2644",0.0249,0.0078,0.012,0.0185,0.0296,0.0099
"Soricomys leonardocoi FMNH 190966",0.0138,0.0044,0.0059,0.0079,0.0177,0.0036
"Soricomys leonardocoi FMNH 190967",0.0169,0.0026,0.0048,0.0083,0.0189,0.0042
"Spalacopus cyanus CBUN SC2ID1",0.3696,0.0334,0.0385,0.2925,0.1957,0.2658
"Stenocephalemys albipes CBUN ETH1426",0.0919,0.0174,0.0297,0.0569,0.0495,0.0279
"Sundamys infraluteus BORN282",1.039,0.1656,0.2636,0.6176,0.695,0.3458
"Sundamys infraluteus BORN510",0.7682,0.0662,0.207,0.3907,0.5185,0.2874
"Sundamys muelleri BORN031",0.6514,0.0912,0.2084,0.4366,0.3095,0.2429
"Sundamys muelleri BORN173",0.4993,0.0858,0.168,0.3265,0.377,0.1661
"Sundamys muelleri BORN567",0.6192,0.0949,0.1607,0.353,0.4869,0.1779
"Tateomys rhinogradoides hh780",0.0266,0.023,0.0166,0.0129,0.0213,0.0063
"Tateomys rhinogradoides hh821",0.0226,0.0206,0.0197,0.0101,0.029,0.0029
"Thomomys talpoides FU23CB",0.2417,0.0279,0.0499,0.1165,0.2036,0.0482
"Uranomys ruddi MNHN-ZM-MO 1996-2080",0.0394,0.0097,0.0142,0.0192,0.0224,0.0109
"Xerus erythropus leucoumbrinus NHM 1922.3.3.11",0.6272,0.0663,0.1936,0.7462,0.2827,0.1245
"Paraxerus boehmi RMCA 1995.061.M.3257",0.102,0.0206,0.0379,0.0586,0.1021,0.0286
"Apodemus sylvaticus MB 2018-34-16",0.0518,0.0096,0.011,0.021,0.0158,0.0117
"Holochilus brasiliensis MNHN-ZM-MO CG1994-5",0.3673,0.0362,0.0963,0.2388,0.2596,0.1128
"Sigmodon hispidus MNHN-ZM-MO 2000-231",0.3104,0.0475,0.0839,0.2496,0.1735,0.1093
"Apomys banahao CBGP P0064",0.1088,0.0181,0.0261,0.1093,0.0672,0.0364
"Apomys datae FMNH 188272",0.1283,0.0234,0.043,0.1096,0.1188,0.041
"Chaetodipus formosus UWBM 37577",0.044,0.0033,0.0068,0.0049,0.0047,0.0074
"Hystrix pumila CBUN CSB013",1.9728,0.8985,1.2444,4.9475,4.0921,3.4882
"Castor fiber MB no number",38.8642,3.2178,8.2675,10.5261,24.4656,14.5127
"Rhynchomys soricoides FMNH ""Rhy2""",0.0649,0.034,0.0474,0.0285,0.0799,0.0261
"Gerbilliscus angolae CBUN ANG0104",0.1882,0.0202,0.0387,0.0828,0.0266,0.0466
"Tachyoryctes splendens RMCA 1980.055.M.0189",0.5979,0.078,0.2089,0.4519,0.5783,0.2423
"Microhydromys sp. CBUN MW1200-008",0.009,0.0016,0.0022,0.0046,0.0077,0.0024
"Calomyscus baluchi USNM 429373",0.04,0.0062,0.0123,0.0198,0.0252,0.0129
"Platacanthomys lasiurus NHM 1915.2.12.1-2",0.0864,0.0173,0.0254,0.049,0.0562,0.0131
"Atherurus africanus CBUN CSB012",1.4356,0.5556,0.6853,3.213,2.8809,2.1362
"Perognathus longimembris UWBM 37550",0.0209,0.0018,0.0024,0.0018,0.003,0.0024
"Praomys sp. MNHN-ZM-MO 1997-381",0.1066,0.0219,0.0291,0.0679,0.05452,0.0325
"Anisomys imitator CBUN FR2200_020",1.3324,0.2304,0.1836,0.4944,0.4594,0.336
